      EF                  x                  y                  z                J0_x               J0_y               J0_z               J1_x               J1_y               J1_z               J2_x               J2_y               J2_z      
      12.011600           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.011800           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.012000           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.012200           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.012400           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.012600           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.012800           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.013000           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.013200           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.013400           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.013600           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.013800           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.014000           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.014200           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.014400           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.014600           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.014800           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.015000           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.015200           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.015400           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.015600           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.015800           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.016000           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.016200           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.016400           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.016600           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.016800           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.017000           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.017200           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.017400           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.017600           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.017800           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.018000           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.018200           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.018400           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.018600           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.018800           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.019000           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.019200           0.006468          -0.015418         735.068867           0.000041          -0.000176          -1.953342          -0.000058           0.000307           9.964682           0.006485          -0.015549         727.057526
      12.019400           0.005742          -0.011339         508.143759           0.000041          -0.000174          -1.928670          -0.000064           0.000284          10.427313           0.005765          -0.011450         499.645116
      12.019600           0.005742          -0.011339         508.143759           0.000041          -0.000174          -1.928670          -0.000064           0.000284          10.427313           0.005765          -0.011450         499.645116
      12.019800           0.005614          -0.011278         506.719835           0.000041          -0.000174          -1.930462          -0.000059           0.000282          10.420193           0.005632          -0.011386         498.230103
      12.020000           0.005614          -0.011278         506.719835           0.000041          -0.000174          -1.930462          -0.000059           0.000282          10.420193           0.005632          -0.011386         498.230103
      12.020200           0.005614          -0.011278         506.719835           0.000041          -0.000174          -1.930462          -0.000059           0.000282          10.420193           0.005632          -0.011386         498.230103
      12.020400          -0.001906          -0.004599          47.274735           0.000041          -0.000173          -1.930725          -0.000056           0.000299           9.587901          -0.001891          -0.004724          39.617559
      12.020600          -0.001906          -0.004599          47.274735           0.000041          -0.000173          -1.930725          -0.000056           0.000299           9.587901          -0.001891          -0.004724          39.617559
      12.020800          -0.001906          -0.004599          47.274735           0.000041          -0.000173          -1.930725          -0.000056           0.000299           9.587901          -0.001891          -0.004724          39.617559
      12.021000          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.021200          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.021400          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.021600          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.021800          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.022000          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.022200          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.022400          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.022600          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.022800          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.023000          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.023200          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.023400          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.023600          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.023800          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.024000          -0.002096          -0.004446          46.032989           0.000041          -0.000173          -1.930418          -0.000052           0.000295           9.603796          -0.002085          -0.004568          38.359611
      12.024200           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.024400           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.024600           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.024800           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.025000           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.025200           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.025400           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.025600           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.025800           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.026000           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.026200           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
