 written on 13May2022 at 01:23:14 
   1.43499629539393        1.43499629539393        1.43499629539393     
  -1.43499629539393        1.43499629539393        1.43499629539393     
  -1.43499629539393       -1.43499629539393        1.43499629539393     
          18
          27
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1

   -2    1   -1
    1   18    0.61529495E-09  0.83310565E-03
    2   18    0.69768250E-08  0.38237490E-03
    3   18   -0.16562056E-08 -0.37166679E-03
    4   18   -0.73922953E-08  0.81176198E-03
    5   18   -0.17212914E-03 -0.27145952E-03
    6   18    0.53420329E-02 -0.13214454E-03
    7   18    0.17212858E-03 -0.27145523E-03
    8   18   -0.53420322E-02 -0.13214434E-03
    9   18    0.15948888E-08  0.90739956E-03
   10   18    0.42600135E-08  0.12528277E-02
   11   18   -0.55414000E-09  0.48715574E-03
   12   18   -0.11947080E-08  0.46811291E-04
   13   18   -0.76870134E-09  0.52584537E-03
   14   18    0.28028277E-08  0.80085849E-03
   15   18   -0.42335787E-03 -0.90237390E-09
   16   18    0.25365682E-01 -0.14780381E-09
   17   18    0.16018387E-03  0.90806574E-09
   18   18    0.23935024E-01  0.11776347E-09

   -1   -1    0
    1    1   -0.75058195E-01 -0.41601695E-04
    2    1   -0.49313179E-04 -0.33826316E-04
    3    1   -0.10170776E+00 -0.43328502E-09
    4    1    0.47604899E-03  0.33870637E-04
    5    1   -0.78294833E-01  0.15979147E-03
    6    1    0.21417544E-03  0.50031324E-03
    7    1   -0.64370572E-01  0.23457755E-03
    8    1    0.33983311E-03 -0.29693674E-03
    9    1   -0.78295847E-01  0.90772398E-03
   10    1   -0.23534669E-03 -0.49884034E-03
   11    1   -0.64370987E-01 -0.76545589E-05
   12    1    0.81304179E-03  0.30172248E-03
   13    1   -0.26050646E-01  0.13329737E-03
   14    1    0.12105948E-03 -0.16150719E-03
   15    1   -0.27947734E-01  0.13021050E-03
   16    1   -0.60817080E-04  0.17299751E-05
   17    1   -0.26054530E-01  0.41446111E-03
   18    1    0.27145800E-03  0.17212318E-03
    1    2    0.49309613E-04  0.33834170E-04
    2    2   -0.36238808E-01 -0.25981115E-03
    3    2    0.47604436E-03 -0.33877694E-04
    4    2   -0.10176379E+00 -0.11152819E-08
    5    2   -0.64051456E-04  0.41772523E-03
    6    2   -0.68856173E-01 -0.20737074E-03
    7    2   -0.72308548E-03 -0.20637831E-03
    8    2   -0.46585265E-01 -0.21981061E-03
    9    2   -0.31543640E-03 -0.42204230E-03
   10    2   -0.68852671E-01 -0.67153514E-03
   11    2   -0.31888040E-03  0.19934006E-03
   12    2   -0.46593048E-01 -0.75991614E-04
   13    2   -0.96219089E-03 -0.11684845E-03
   14    2   -0.53419902E-02 -0.11387821E-03
   15    2   -0.44635071E-03 -0.28293958E-04
   16    2   -0.18259546E-01 -0.17838301E-03
   17    2   -0.73501834E-04  0.10138226E-03
   18    2   -0.53420300E-02 -0.13214419E-03
    1    3   -0.10170776E+00 -0.11022579E-08
    2    3   -0.47605228E-03  0.33870940E-04
    3    3   -0.75058196E-01  0.41602786E-04
    4    3    0.49314603E-04 -0.33828931E-04
    5    3   -0.78294832E-01 -0.15979194E-03
    6    3   -0.21417074E-03  0.50029627E-03
    7    3   -0.64370575E-01 -0.23457752E-03
    8    3   -0.33983640E-03 -0.29692104E-03
    9    3   -0.78295850E-01 -0.90772380E-03
   10    3    0.23534914E-03 -0.49885240E-03
   11    3   -0.64370983E-01  0.76541457E-05
   12    3   -0.81304548E-03  0.30173094E-03
   13    3    0.26050647E-01  0.13329707E-03
   14    3    0.12105381E-03  0.16150533E-03
   15    3   -0.27947734E-01 -0.13021053E-03
   16    3    0.60816525E-04  0.17279167E-05
   17    3    0.26054530E-01  0.41446123E-03
   18    3    0.27145768E-03 -0.17212326E-03
    1    4   -0.47604072E-03 -0.33876037E-04
    2    4   -0.10176379E+00 -0.13111164E-08
    3    4   -0.49312209E-04  0.33831498E-04
    4    4   -0.36238809E-01  0.25981221E-03
    5    4    0.64044964E-04  0.41771843E-03
    6    4   -0.68856169E-01  0.20737103E-03
    7    4    0.72309075E-03 -0.20637686E-03
    8    4   -0.46585270E-01  0.21980943E-03
    9    4    0.31543275E-03 -0.42206313E-03
   10    4   -0.68852673E-01  0.67153451E-03
   11    4    0.31888529E-03  0.19935862E-03
   12    4   -0.46593046E-01  0.75991496E-04
   13    4   -0.96217353E-03  0.11684783E-03
   14    4    0.53419896E-02 -0.11387988E-03
   15    4    0.44635110E-03 -0.28295517E-04
   16    4   -0.18259548E-01  0.17838308E-03
   17    4   -0.73495727E-04 -0.10138220E-03
   18    4    0.53420303E-02 -0.13214508E-03
    1    5   -0.64370574E-01  0.23457745E-03
    2    5    0.72308565E-03  0.20636712E-03
    3    5   -0.64370571E-01 -0.23457764E-03
    4    5   -0.72309203E-03  0.20637656E-03
    5    5    0.18862069E-02  0.36669223E-10
    6    5    0.28638796E-08  0.29178339E-03
    7    5   -0.67198941E-01 -0.42857182E-09
    8    5    0.79662812E-10  0.34866947E-03
    9    5    0.72622005E-02 -0.18684498E-10
   10    5    0.31581166E-08  0.68239088E-03
   11    5   -0.60677614E-01  0.69171252E-10
   12    5   -0.16821776E-08  0.21116726E-03
   13    5   -0.85364709E-09 -0.62394234E-03
   14    5   -0.21739691E-03 -0.94529388E-10
   15    5    0.27586032E-01  0.16190743E-10
   16    5    0.42770197E-08  0.18887828E-03
   17    5    0.12081724E-08 -0.96732349E-03
